grid_cell,year,total,squirrel,EVI_mean,Human_popden_sqrt,Precipitation,Temp_max
3662,2022,2,0,1603.2376904296875,1.5847488604592799,169.85902038574218,360.29536865234377
3663,2014,1,0,1970.2354504394532,0.8237785128165249,172.71083709716797,361.16019439697266
3664,2019,1,0,2202.2006689453124,0.5099911114859469,163.87937728881838,354.7736807250977
3665,2022,1,0,2093.6261694335935,0.1633090077364531,164.63648788452147,359.93336700439454
3666,2022,1,0,1406.760751695633,0.17195918647615321,171.20926971435546,366.91635772705075
3739,2016,1,0,1463.4419750976563,1.0573760885522112,180.4215101623535,365.9155615234375
3739,2017,1,0,1463.4419750976563,1.0573760885522112,180.4215101623535,365.9155615234375
3739,2018,1,0,1463.4419750976563,1.0573760885522112,180.4215101623535,365.9155615234375
3739,2019,1,0,1463.4419750976563,1.0573760885522112,180.4215101623535,365.9155615234375
3739,2020,1,0,1463.4419750976563,1.0573760885522112,180.4215101623535,365.9155615234375
3739,2021,5,0,1463.4419750976563,1.0573760885522112,180.4215101623535,365.9155615234375
3739,2022,2,0,1463.4419750976563,1.0573760885522112,180.4215101623535,365.9155615234375
3740,2018,1,0,1456.376337890625,1.1802600330208344,178.65090606689452,362.10921264648437
3740,2019,2,0,1456.376337890625,1.1802600330208344,178.65090606689452,362.10921264648437
3740,2020,1,0,1456.376337890625,1.1802600330208344,178.65090606689452,362.10921264648437
3740,2021,1,0,1456.376337890625,1.1802600330208344,178.65090606689452,362.10921264648437
3741,2021,1,0,1643.4515942382814,0.9268535792852308,174.75357467651367,360.85874267578123
3741,2022,1,0,1643.4515942382814,0.9268535792852308,174.75357467651367,360.85874267578123
3742,2018,1,0,1479.5467736816406,1.798482497619273,174.59670974731446,363.52241485595704
3742,2019,1,0,1479.5467736816406,1.798482497619273,174.59670974731446,363.52241485595704
3742,2020,1,0,1479.5467736816406,1.798482497619273,174.59670974731446,363.52241485595704
3742,2021,3,0,1479.5467736816406,1.798482497619273,174.59670974731446,363.52241485595704
3742,2022,2,0,1479.5467736816406,1.798482497619273,174.59670974731446,363.52241485595704
3743,2009,1,0,1488.8592224121094,3.6569046463104495,173.42460235595703,367.20265869140627
